lap_time,lap_distance,speed_kmh,track_pos,angle,wheel_spin,gear,rpm,race_pos,fuel,throttle,brake,steer
1.264,3240.17,23.504436000000002,-0.32377,-0.00217086,5.2682725,1,942.478,4,94.0,0.5652232170104979,0.0,0.0
1.284,3240.21,24.270948,-0.323717,-0.00223476,5.2229725,1,942.478,4,94.0,0.5810173034667968,0.0,0.0
1.304,3240.25,24.965136,-0.323659,-0.00245887,5.671390000000001,1,942.478,4,94.0,0.584151268005371,0.0,0.0
1.324,3240.28,25.661556,-0.323599,-0.00260002,6.0636525,1,942.478,4,94.0,0.5997072219848631,0.0,0.0
1.344,3240.32,26.488547999999998,-0.323545,-0.00261528,5.85266,1,942.478,4,94.0,0.6029905319213866,0.0,0.0
1.364,3240.37,27.107784,-0.323495,-0.00257951,6.598962500000001,1,942.478,4,94.0,0.6060520172119139,0.0,0.0
1.384,3240.41,27.793188,-0.323442,-0.00255806,7.014315,1,942.478,4,94.0,0.6218980789184569,0.0,0.0
1.404,3240.45,28.488816000000003,-0.323381,-0.00265819,7.6549125,1,942.478,4,94.0,0.6255517005920409,0.0,0.0
1.424,3240.5,29.412828,-0.323315,-0.00279457,7.5367025,1,942.478,4,94.0,0.6412872314453124,0.0,0.0
1.444,3240.54,30.387672000000002,-0.323251,-0.00291855,6.98412,1,954.621,4,94.0,0.6446816444396972,0.0,0.0
1.464,3240.59,31.22676,-0.323195,-0.00293619,6.91145,1,984.691,4,94.0,0.6479236602783203,0.0,0.0
1.484,3240.64,31.783068000000004,-0.323138,-0.00300628,8.372792500000001,1,1043.21,4,94.0,0.6634048461914062,0.0,0.0
1.504,3240.69,32.882868,-0.323077,-0.00307733,7.69961,1,1056.97,4,94.0,0.6667800903320311,0.0,0.0
1.524,3240.74,33.648156,-0.323021,-0.00311929,8.098595,1,1087.61,4,94.0,0.669688034057617,0.0,0.0
1.544,3240.79,34.54056,-0.322962,-0.0031932,8.5512875,1,1114.99,4,94.0,0.685923671722412,0.0,0.0
1.564,3240.85,35.493048,-0.322899,-0.00325996,8.30779,1,1188.55,4,94.0,0.6889553070068358,0.0,0.0
1.584,3240.9,36.423719999999996,-0.322837,-0.00332529,8.414935,1,1207.17,4,94.0,0.7092824935913085,0.0,0.0
1.604,3240.96,37.255680000000005,-0.322768,-0.00351745,9.077232500000001,1,1203.64,4,94.0,0.7125476837158202,0.0,0.0
1.624,3241.02,38.12328,-0.322696,-0.00367815,9.70771,1,1249.28,4,93.9999,0.7158604621887206,0.0,0.0
1.644,3241.08,39.11832,-0.322629,-0.00382597,9.8835425,1,1278.26,4,93.9999,0.7321500778198241,0.0,0.0
1.664,3241.14,40.15512,-0.322563,-0.00394851,10.0458375,1,1283.37,4,93.9999,0.7355236053466796,0.0,0.0
1.684,3241.2,41.05188,-0.322491,-0.00418312,10.579600000000001,1,1355.72,4,93.9998,0.7384864807128906,0.0,0.0
1.704,3241.27,42.09192,-0.322413,-0.00437195,10.526165,1,1468.35,4,93.9998,0.7597349166870117,0.0,0.0
1.724,3241.33,43.10928,-0.322337,-0.00447303,10.7374375,1,1621.25,4,93.9997,0.7628764152526855,0.0,0.0
1.744,3241.4,44.13492,-0.322263,-0.00452549,11.10585,1,1650.8,4,93.9996,0.7658872604370116,0.0,0.0
1.764,3241.47,45.30456,-0.322188,-0.00457031,11.067155,1,1687.9,4,93.9995,0.7688632011413573,0.0,0.0
1.784,3241.54,46.37232,-0.32211,-0.00469524,11.291572500000001,1,1729.1,4,93.9995,0.7843324661254881,0.0,0.0
1.804,3241.61,47.563919999999996,-0.322033,-0.00475818,11.170602500000001,1,1689.19,4,93.9994,0.7874664306640623,0.0,0.0
1.824,3241.69,48.6216,-0.321955,-0.00482208,11.6497,1,1708.74,4,93.9993,0.7905237197875975,0.0,0.0
1.844,3241.76,49.67568,-0.321875,-0.00486261,12.1799,1,1747.38,4,93.9992,0.8108120918273924,0.0,0.0
