angle,curLapTime,damage,fuel,gear,lastLapTime,rpm,speedX,speedY,trackPos,wheel_FL,wheel_FR,wheel_RL,wheel_RR
0.00553435,1.664,0,99.9688,1,0.0,8297.51,53.9702,0.00830092,0.319281,49.5907,49.6079,47.2115,47.3568
0.00560873,1.684,0,99.9687,1,0.0,8280.21,53.8549,0.00812792,0.318956,49.4847,49.5018,47.1136,47.2576
0.00568217,1.704,0,99.9687,1,0.0,8263.02,53.7406,0.007959,0.318628,49.3795,49.3964,47.0163,47.1589
0.00575512,1.724,0,99.9686,1,0.0,8245.95,53.627,0.00779755,0.318296,49.2751,49.2919,46.9196,47.061
0.00582712,1.744,0,99.9685,1,0.0,8228.99,53.5143,0.00764403,0.31796,49.1715,49.1881,46.8236,46.9637
0.00589865,1.764,0,99.9684,1,0.0,8212.03,53.4025,0.00756409,0.317621,49.0686,49.0851,46.7277,46.8662
0.0059697,1.784,0,99.9684,1,0.0,8195.37,53.2914,0.00747307,0.317277,48.9665,48.9828,46.6334,46.7707
0.00604027,1.804,0,99.9683,1,0.0,8178.82,53.181,0.00734938,0.316931,48.865,48.8812,46.5397,46.6757
0.00610941,1.824,0,99.9682,1,0.0,8162.38,53.0715,0.00721841,0.31658,48.7643,48.7803,46.4466,46.5813
0.00617855,1.844,0,99.9682,1,0.0,8146.04,52.9628,0.00709273,0.316227,48.6643,48.6801,46.3541,46.4875
0.00624674,1.864,0,99.9682,1,0.0,8129.81,52.8548,0.00697343,0.31587,48.565,48.5807,46.2623,46.3943
0.00631398,1.884,0,99.9682,1,0.0,8113.68,52.7476,0.00686125,0.315509,48.4664,48.4819,46.171,46.3018
0.00638073,1.904,0,99.9682,1,0.0,8097.66,52.6412,0.00675693,0.315145,48.3685,48.3839,46.0804,46.2098
0.00644701,1.924,0,99.9682,1,0.0,8081.76,52.5355,0.00665904,0.314778,48.2713,48.2865,45.9903,46.1185
0.00651282,1.944,0,99.9682,1,0.0,8065.96,52.4305,0.006564,0.314408,48.1748,48.1899,45.9009,46.0278
0.00657767,1.964,0,99.9682,1,0.0,8050.26,52.3263,0.00646988,0.314034,48.079,48.0939,45.812,45.9378
0.00664204,1.984,0,99.9682,1,0.0,8034.68,52.2228,0.00637637,0.313658,47.9838,47.9986,45.7238,45.8483
0.00671213,2.006,0,99.9682,1,0.0,8017.65,52.1098,0.00627386,0.31324,47.8799,47.8945,45.6274,45.7507
0.00678128,2.028,0,99.9682,1,0.0,8000.76,51.9977,0.00617271,0.312819,47.7767,47.7912,45.5318,45.6537
0.00685042,2.05,0,99.9682,1,0.0,7983.99,51.8863,0.00607274,0.312393,47.6744,47.6887,45.4368,45.5575
0.00691813,2.072,0,99.9682,1,0.0,7967.35,51.7759,0.00597456,0.311965,47.5728,47.587,45.3426,45.462
0.00698536,2.094,0,99.9682,1,0.0,7950.83,51.6663,0.00587818,0.311533,47.472,47.486,45.249,45.3672
0.00705212,2.116,0,99.9682,1,0.0,7934.43,51.5575,0.00578333,0.311098,47.3719,47.3858,45.1562,45.2732
0.0071184,2.138,0,99.9682,1,0.0,7918.15,51.4495,0.00569032,0.310659,47.2726,47.2864,45.064,45.1798
0.00718373,2.16,0,99.9682,1,0.0,7901.99,51.3423,0.00559856,0.310217,47.174,47.1877,44.9725,45.0871
0.0072481,2.182,0,99.9682,1,0.0,7885.96,51.2359,0.00550813,0.309772,47.0762,47.0897,44.8816,44.9951
0.007312,2.204,0,99.9682,1,0.0,7870.03,51.1303,0.00541931,0.309323,46.9791,46.9925,44.7915,44.9037
0.00737541,2.226,0,99.9682,1,0.0,7854.22,51.0255,0.00533186,0.308872,46.8828,46.896,44.7019,44.8131
0.00743836,2.248,0,99.9682,1,0.0,7838.53,50.9215,0.00524307,0.308417,46.7871,46.8002,44.613,44.7231
0.00750035,2.27,0,99.9682,1,0.0,7822.95,50.8182,0.00515088,0.307959,46.6922,46.7051,44.5247,44.6337
0.00756186,2.292,0,99.9682,1,0.0,7807.48,50.7157,0.00505741,0.307498,46.5979,46.6108,44.437,44.5451
0.00762289,2.314,0,99.9682,1,0.0,7792.12,50.614,0.00496498,0.307035,46.5044,46.5171,44.35,44.4571
0.00768297,2.336,0,99.9682,1,0.0,7776.88,50.513,0.00487448,0.306568,46.4115,46.4241,44.2636,44.3697
0.0077355,2.358,0,99.9682,1,0.0,7761.75,50.4128,0.00478588,0.305969,46.3193,46.3318,44.1779,44.2829
0.00779437,2.38,0,99.9682,1,0.0,7746.73,50.3132,0.00469969,0.305497,46.2278,46.2401,44.0928,44.1968
0.00785261,2.402,0,99.9682,1,0.0,7731.81,50.2145,0.00461552,0.305022,46.1369,46.1492,44.0082,44.1113
0.00791026,2.424,0,99.9682,1,0.0,7717.0,50.1164,0.00453352,0.304545,46.0468,46.0589,43.9243,44.0264
0.00796733,2.446,0,99.9682,1,0.0,7702.25,50.019,0.00446069,0.304065,45.9572,45.9692,43.8409,43.9418
0.008024,2.468,0,99.9682,1,0.0,7687.66,49.9224,0.0044212,0.303582,45.8684,45.8803,43.7581,43.8581
0.0080801,2.49,0,99.9682,1,0.0,7673.17,49.8264,0.00435802,0.303097,45.7801,45.7919,43.676,43.7751
0.0081356,2.512,0,99.9682,1,0.0,7658.79,49.7311,0.00428803,0.302609,45.6925,45.7041,43.5945,43.6926
0.00819055,2.534,0,99.9682,1,0.0,7644.5,49.6365,0.00422097,0.302118,45.6055,45.617,43.5135,43.6107
0.00824494,2.556,0,99.9682,1,0.0,7630.31,49.5425,0.00415769,0.301626,45.5191,45.5305,43.4331,43.5293
0.00829881,2.578,0,99.9682,1,0.0,7616.21,49.4493,0.00409945,0.301131,45.4334,45.4447,43.3532,43.4485
0.00835218,2.6,0,99.9682,1,0.0,7602.21,49.3567,0.00404573,0.300633,45.3482,45.3594,43.2739,43.3682
0.00840505,2.622,0,99.9682,1,0.0,7588.31,49.2647,0.00399419,0.300133,45.2636,45.2747,43.1951,43.2885
0.00845741,2.644,0,99.9682,1,0.0,7574.5,49.1734,0.00394333,0.299631,45.1797,45.1907,43.1168,43.2094
0.00850929,2.666,0,99.9682,1,0.0,7560.78,49.0827,0.00389304,0.299126,45.0963,45.1072,43.0391,43.1308
0.00856068,2.688,0,99.9682,1,0.0,7547.17,48.9927,0.00384314,0.29862,45.0135,45.0243,42.9619,43.0527
0.00861159,2.71,0,99.9682,1,0.0,7533.64,48.9033,0.00379358,0.298111,44.9313,44.942,42.8853,42.9752
0.00866202,2.732,0,99.9682,1,0.0,7520.21,48.8145,0.00374464,0.2976,44.8497,44.8602,42.8091,42.8982
0.00871198,2.754,0,99.9682,1,0.0,7506.87,48.7263,0.00369645,0.297087,44.7686,44.7791,42.7335,42.8217
0.00876148,2.776,0,99.9682,1,0.0,7493.62,48.6387,0.00364904,0.296572,44.6881,44.6985,42.6584,42.7458
0.00881051,2.798,0,99.9682,1,0.0,7480.46,48.5517,0.00360258,0.296054,44.6081,44.6184,42.5838,42.6704
0.00885909,2.82,0,99.9682,1,0.0,7467.39,48.4654,0.00355658,0.295535,44.5287,44.5389,42.5097,42.5955
0.00890722,2.842,0,99.9682,1,0.0,7454.41,48.3796,0.00351139,0.295014,44.4498,44.4599,42.4361,42.5211
0.00895491,2.864,0,99.9682,1,0.0,7441.51,48.2944,0.00346712,0.294491,44.3715,44.3815,42.363,42.4472
0.00900216,2.886,0,99.9682,1,0.0,7428.7,48.2098,0.00342326,0.293966,44.2937,44.3036,42.2904,42.3738
0.00904897,2.908,0,99.9682,1,0.0,7415.98,48.1258,0.0033804,0.293439,44.2164,44.2263,42.2183,42.3009
0.00909536,2.93,0,99.9682,1,0.0,7403.34,48.0423,0.00333817,0.29291,44.1397,44.1494,42.1466,42.2285
0.00914132,2.952,0,99.9682,1,0.0,7390.79,47.9594,0.00329646,0.292379,44.0635,44.0731,42.0755,42.1565
0.00918686,2.974,0,99.9682,1,0.0,7378.32,47.8771,0.00325544,0.291846,43.9878,43.9973,42.0047,42.0851
0.00923199,2.996,0,99.9682,1,0.0,7365.93,47.7953,0.00321509,0.291312,43.9126,43.9221,41.9345,42.0141
0.00927671,3.018,0,99.9682,1,0.0,7353.63,47.7141,0.0031753,0.290776,43.8379,43.8473,41.8647,41.9436
0.00932102,3.04,0,99.9682,1,0.0,7341.4,47.6334,0.00313605,0.290238,43.7637,43.773,41.7954,41.8736
0.00936494,3.062,0,99.9682,1,0.0,7329.25,47.5532,0.00309751,0.289699,43.69,43.6992,41.7266,41.804
0.00940846,3.084,0,99.9682,1,0.0,7317.19,47.4736,0.00305958,0.289157,43.6168,43.6259,41.6581,41.7349
0.00945158,3.106,0,99.9682,1,0.0,7305.2,47.3945,0.00302226,0.288614,43.5441,43.5531,41.5902,41.6662
0.00949432,3.128,0,99.9682,1,0.0,7293.3,47.3159,0.00298533,0.28807,43.4719,43.4808,41.5227,41.598
0.00953668,3.15,0,99.9682,1,0.0,7281.47,47.2379,0.00294905,0.287524,43.4001,43.409,41.4556,41.5302
0.00957866,3.172,0,99.9682,1,0.0,7269.71,47.1604,0.0029133,0.286977,43.3288,43.3376,41.3889,41.4629
0.00962026,3.194,0,99.9682,1,0.0,7258.04,47.0833,0.00287808,0.286427,43.258,43.2667,41.3227,41.396
0.00966149,3.216,0,99.9682,1,0.0,7246.44,47.0068,0.00284348,0.285877,43.1877,43.1963,41.2569,41.3296
0.00970236,3.238,0,99.9682,1,0.0,7234.91,46.9308,0.00280939,0.285325,43.1178,43.1264,41.1915,41.2635
0.00974286,3.26,0,99.9682,1,0.0,7223.46,46.8553,0.00277551,0.284771,43.0484,43.0569,41.1266,41.1979
0.00978301,3.282,0,99.9682,1,0.0,7212.08,46.7803,0.00274249,0.284216,42.9794,42.9878,41.0621,41.1328
0.0098228,3.304,0,99.9682,1,0.0,7200.77,46.7057,0.00270996,0.283659,42.9108,42.9192,40.9979,41.068
0.00986224,3.326,0,99.9682,1,0.0,7189.54,46.6317,0.00267766,0.283101,42.8428,42.851,40.9342,41.0037
0.00990134,3.348,0,99.9682,1,0.0,7178.38,46.5581,0.00264586,0.282542,42.7751,42.7833,40.8709,40.9397
0.00994009,3.37,0,99.9682,1,0.0,7167.29,46.485,0.00261473,0.281981,42.7079,42.716,40.808,40.8762
0.00997851,3.392,0,99.9682,1,0.0,7156.27,46.4124,0.00258411,0.281419,42.6411,42.6492,40.7455,40.8131
0.0100166,3.414,0,99.9682,1,0.0,7145.32,46.3402,0.00255376,0.280856,42.5748,42.5828,40.6834,40.7504
